50m freestyle,freestyle,21.30,Cesar,Cielo filho,Brazil,2008 Beijing
100m freestyle,freestyle,47.05,Eamon,Sullivan,Australia,2008 Beijing
200m freestyle,freestyle,1:42.96,Michael,Phelps,United States,2008 Beijing
400m freestyle,freestyle,3:40.14,Sun,Yang,China,2012 London
1500m freestyle,freestyle,14:31.02,Sun,Yang,China,2012 London
100m backstroke,backstroke,51.85,Ryan,Murphy,United States,2016 Rio de Janeiro
200m backstroke,backstroke,1:53.41,Tyler,Clary,United States,2012 London
100m breaststroke,breaststroke,57.13,Adam,Peaty,Great Britain,2016 Rio de Janeiro
200m breaststroke,breaststroke,2:07.22,Ippei,Watanabe,Japan,2016 Rio de Janeiro
100m butterfly,butterfly,50.39,Joseph,Schooling,Singapore,2016 Rio de Janeiro
200m butterfly,butterfly,1:52.03,Michael,Phelps,United States,2008 Beijing
200m individual medley,medley,1:54.23,Michael,Phelps,United States,2008 Beijing
400m individual medley,medley,4:03.84,Michael,Phelps,United States,2008 Beijing
4x100m freestyle relay,freestyle,3:08.24,Michael,Phelps,United States,2008 Beijing
4x200m freestyle relay,freestyle,6:58.56,Michael,Phelps,United States,2008 Beijing
4x100m medley relay,medley,3:27.95,Ryan,Murphy,United States,2016 Rio de Jainero
50m freestyle,freestyle,24.05,Ranomi,Kromowidjojo,Netherlands,2012 London
100m freestyle,freestyle,52.70,Simone,Manuel,United States,2016 Rio de Janeiro
200m freestyle,freestyle,1:53.61,Allison,Schmitt,United States,2012 London
400m freestyle,freestyle,3:56.46,Katie,Ledecky,United States,2016 Rio de Janeiro
800m freestyle,freestyle,8:04.79,Katie,Ledecky,United States,2016 Rio de Janeiro
100m backstroke,backstroke,58.23,Emily,Seebohm,Australia,2012 London
200m backstroke,backstroke,2:04.06,Missy,Franklin,United States,2012 London
100m breaststroke,breaststroke,1:04.93,Lilly,King,United States,2016 Rio de Janeiro
200m breaststroke,breaststroke,2:19.59,Rebecca,Soni,United States,2012 London
100m butterfly,butterfly,55.48,Sarah,Sjostrom,Sweden,2016 Rio de Janeiro
200m butterfly,butterfly,2:04.06,Jiao,Liuyang,China,2012 London
200m individual medley,medley,2:06.58,Katinka,Hosszu,Hungary,2016 Rio de Janeiro
400m individual medley,medley,4:26.36,Katinka,Hosszu,Hungary,2016 Rio de Janeiro
4x100m freestyle relay,freestyle,3:30.65,Emma,McKeon,Australia,2016 Rio de Janeiro
4x200m freestyle relay,freestyle,7:42.92,Missy,Franklin,United States,2012 London
4x100m medley relay,medley,3:52.05,Missy,Franklin,United States,2012 London